unique_id,session_group_id,monkey,date,experiment_pc_name,probe_type,brain_area,grid_hole,channel_numbers,channel_ordering,raw_filename_base,dat_status,behavior_status,kilosort_status,consolidation_status,tokensOriginalTask,tokensAVTask,attentionTask,gSac_4factors,gSac_jph,screening_status,selection_status,dataprep_status,analysis_status,notes
Feynman_08_12_2025_SNc,Feynman_08_12_2025,Feynman,08_12_2025,pldaps2,nnVector,SNc,"(+5, +3)",1:32,"[17:2:31 18:2:32 2:2:16 1:2:15]",feynman_08122025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Feynman_08_12_2025_SC,Feynman_08_12_2025,Feynman,08_12_2025,pldaps2,nnVector,SC,"(+4, +2)",33:64,"[17:2:31 18:2:32 2:2:16 1:2:15]",feynman_08122025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Feynman_08_13_2025_SNc,Feynman_08_13_2025,Feynman,08_13_2025,pldaps2,nnVector,SNc,"(+5, +1)",1:32,"[17:2:31 18:2:32 2:2:16 1:2:15]",feynman_08132025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Feynman_08_13_2025_SC,Feynman_08_13_2025,Feynman,08_13_2025,pldaps2,vProbe,SC,"(+3, +3)",33:64,"[32:-2:2, 31:-2:1]",feynman_08132025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Feynman_08_14_2025_SNc,Feynman_08_14_2025,Feynman,08_14_2025,pldaps2,nnVector,SNc,"(+5, +3)",1:32,"[17:2:31 18:2:32 2:2:16 1:2:15]",feynman_08142025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Feynman_08_14_2025_SC,Feynman_08_14_2025,Feynman,08_14_2025,pldaps2,vProbe,SC,"(+3.5, +2.5)",33:64,"[32:-2:2, 31:-2:1]",feynman_08142025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Feynman_08_15_2025_SNc,Feynman_08_15_2025,Feynman,08_15_2025,pldaps2,nnVector,SNc,"(+6, +2)",1:32,"[17:2:31 18:2:32 2:2:16 1:2:15]",feynman_08152025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Feynman_08_15_2025_SC,Feynman_08_15_2025,Feynman,08_15_2025,pldaps2,vProbe,SC,"(+3, +3)",33:64,"[32:-2:2, 31:-2:1]",feynman_08152025_01,complete,complete,complete,complete,0,1,0,1,1,complete,complete,complete,complete,AV tokens task and 4factors
Newton_08_13_2025_SC,Newton_08_13_2025,Newton,08_13_2025,pldaps1,nnVector,SC,"(+4,+0.5)",1:32,"[17:2:31 18:2:32 2:2:16 1:2:15]",newton_08132025_01,complete,complete,complete,complete,0,0,1,1,1,complete,complete,complete,complete,Attention task and 4factors tasks
Newton_08_14_2025_SC,Newton_08_14_2025,Newton,08_14_2025,pldaps1,nnVector,SC,"(-2,+1.5)",1:32,"[17:2:31 18:2:32 2:2:16 1:2:15]",newton_08142025_01,complete,complete,complete,complete,0,0,1,1,1,complete,complete,complete,complete,Attention task and 4factors tasks
Newton_08_15_2025_SC,Newton_08_15_2025,Newton,08_15_2025,pldaps1,nnVector,SC,"(+4,+0.5)",1:32,"[17:2:31 18:2:32 2:2:16 1:2:15]",newton_08152025_01,complete,complete,complete,complete,0,0,1,1,1,complete,complete,complete,complete,Attention task and 4factors tasks
